,open,close,high,low,volume
2012-01-04,5.1485,5.0117,5.1918,5.0117,21256622.0
2012-01-05,5.0117,4.7813,5.0765,4.7021,28979853.0
2012-01-06,4.8101,4.7885,4.8533,4.5941,26744432.0
2012-01-09,4.7741,4.9181,4.9181,4.6589,27570492.0
2012-01-10,4.9181,5.0981,5.1485,4.8893,41116078.0
2012-01-11,5.0909,5.0405,5.1197,4.9829,21530440.0
2012-01-12,5.0477,5.0765,5.1846,5.0117,21721138.0
2012-01-13,5.1125,4.9901,5.1269,4.9541,12606105.0
2012-01-16,4.9685,4.8605,5.0837,4.8533,13967088.0
2012-01-17,4.8893,5.0693,5.1197,4.7309,26393799.0
2012-01-18,5.0549,5.0045,5.1053,4.9757,19953856.0
2012-01-19,5.0333,5.1702,5.1702,4.9973,29352907.0
2012-01-20,5.1702,5.3862,5.415,5.1341,47393585.0
2012-01-30,5.4006,5.2422,5.415,5.2422,19593257.0
2012-01-31,5.2566,5.3718,5.4006,5.2062,19820193.0
2012-02-01,5.3502,5.2422,5.4006,5.2062,19548910.0
2012-02-02,5.2494,5.3286,5.3286,5.1774,19521952.0
2012-02-03,5.3286,5.4366,5.4798,5.2782,39918536.0
2012-02-06,5.4366,5.2998,5.4366,5.2782,33244623.0
2012-02-07,5.2566,5.1558,5.271,5.1125,27933831.0
2012-02-08,5.1197,5.2134,5.3214,5.1197,33679841.0
2012-02-09,5.235,5.2926,5.3862,5.1774,57499815.0
2012-02-10,5.3214,5.199,5.5086,5.1341,112436753.0
2012-02-13,5.1125,5.1269,5.1918,5.0405,49345010.0
2012-02-14,5.1341,5.1269,5.1413,5.0549,28092382.0
2012-02-15,5.1053,5.1413,5.2206,5.0765,43143836.0
2012-02-16,5.1341,5.1125,5.1702,5.0981,26598030.0
2012-02-17,5.1558,5.1702,5.2206,5.0981,32185501.0
2012-02-20,5.2278,5.163,5.2782,5.1558,47285823.0
2012-02-21,5.2062,5.1558,5.2134,5.0837,42460311.0
2012-02-22,5.1413,5.3718,5.4366,5.1413,118895390.0
2012-02-23,5.3718,5.3358,5.4438,5.2998,50029428.0
2012-02-24,5.3646,5.5446,5.6454,5.307,99733699.0
2012-02-27,5.5518,5.5014,5.6238,5.4438,64875305.0
2012-02-28,5.487,5.4798,5.5878,5.4582,35417841.0
2012-02-29,5.4006,5.3574,5.487,5.3502,33131338.0
2012-03-01,5.3574,5.4078,5.4366,5.3502,23549187.0
2012-03-02,5.4006,5.5518,5.6598,5.3934,52556261.0
2012-03-05,5.5878,5.5014,5.703,5.4798,53169028.0
2012-03-06,5.5086,5.3862,5.5374,5.3286,37501698.0
2012-03-07,5.3286,5.4366,5.4726,5.307,30102940.0
2012-03-08,5.4438,5.523,5.6022,5.415,44855676.0
2012-03-09,5.5302,5.5158,5.5806,5.4582,20451149.0
2012-03-12,5.4726,5.3934,5.5086,5.379,33591353.0
2012-03-13,5.3934,5.4654,5.4654,5.3646,38932603.0
2012-03-14,5.4726,5.163,5.5518,5.0477,51266602.0
2012-03-15,5.2134,5.0405,5.2494,5.0189,69904396.0
2012-03-16,5.0549,5.1413,5.1774,5.0333,46497169.0
2012-03-19,5.163,5.307,5.3286,5.163,47572876.0
2012-03-20,5.3286,5.2422,5.3286,5.1918,23371769.0
2012-03-21,5.2782,5.1485,5.307,5.0837,31197209.0
2012-03-22,5.1846,5.1485,5.2134,5.1125,16736599.0
2012-03-23,5.1341,5.0549,5.1413,5.0117,24699163.0
2012-03-26,5.0909,5.0621,5.1053,5.0189,15562888.0
2012-03-27,5.0909,5.0405,5.1197,5.0045,13729201.0
2012-03-28,5.0333,5.0333,5.0909,4.9613,27278653.0
2012-03-29,5.0261,5.0477,5.2134,4.9613,39978149.0
2012-03-30,5.0693,5.0477,5.1558,5.0405,22133329.0
2012-04-05,5.0333,5.2062,5.2566,5.0189,31438940.0
2012-04-06,5.1846,5.2206,5.2782,5.1197,23274566.0
2012-04-09,5.2206,5.1846,5.2206,5.1053,15318183.0
2012-04-10,5.163,5.2062,5.2062,5.0477,33672323.0
2012-04-11,5.1485,5.2206,5.3718,5.1197,45432966.0
2012-04-12,5.2206,5.379,5.3862,5.199,40443499.0
