,open,close,high,low,volume
2012-01-04,1.6442,1.6087,1.6531,1.6087,79823597.0
2012-01-05,1.6087,1.6531,1.6709,1.5998,176357779.0
2012-01-06,1.6531,1.662,1.6709,1.6176,98665407.0
2012-01-10,1.7242,1.8309,1.8309,1.7064,467853043.0
2012-01-11,1.8664,1.8309,1.9109,1.8131,474317927.0
2012-01-12,1.8131,1.7953,1.8398,1.7776,194048087.0
2012-01-13,1.7953,1.7776,1.822,1.7598,137015716.0
2012-01-16,1.7598,1.7598,1.7864,1.7509,81037897.0
2012-01-17,1.7598,1.8487,1.8664,1.7509,172800225.0
2012-01-18,1.8487,1.8042,1.8575,1.7864,133544865.0
2012-01-19,1.8042,1.822,1.8309,1.7953,90278132.0
2012-01-20,1.8309,1.8309,1.8398,1.8042,94080304.0
2012-01-30,1.8398,1.8131,1.8398,1.8042,72663466.0
2012-01-31,1.8131,1.8042,1.822,1.7953,56773496.0
2012-02-01,1.8042,1.8131,1.822,1.7953,64262231.0
2012-02-02,1.8131,1.8309,1.8309,1.8042,72518441.0
2012-02-03,1.822,1.8309,1.8398,1.8131,98934534.0
2012-02-06,1.8309,1.822,1.8398,1.822,75232869.0
2012-02-07,1.822,1.8042,1.8309,1.7864,92381374.0
2012-02-08,1.7953,1.8398,1.8398,1.7953,112614475.0
2012-02-09,1.8309,1.8664,1.8931,1.822,202981108.0
2012-02-10,1.8575,1.8575,1.8753,1.8398,129590036.0
2012-02-13,1.8398,1.8575,1.8753,1.8309,127584445.0
2012-02-14,1.8487,1.8398,1.8575,1.8309,81220528.0
2012-02-15,1.8398,1.8842,1.8931,1.8309,206711306.0
2012-02-16,1.8753,1.8664,1.8842,1.8398,151180487.0
2012-02-17,1.8664,1.8487,1.8753,1.8309,94757358.0
2012-02-20,1.8664,1.9286,2.0175,1.8575,485165590.0
2012-02-21,1.9109,2.0264,2.0264,1.902,486543051.0
2012-02-22,2.0353,2.0797,2.1153,2.0086,495683954.0
2012-02-23,2.0797,2.0708,2.0975,2.0264,305501443.0
2012-02-24,2.062,2.0797,2.0886,2.0442,217109348.0
2012-02-28,2.1864,2.1242,2.2486,2.0975,479687166.0
2012-02-29,2.1064,2.0531,2.1153,2.0442,248730688.0
2012-03-01,2.0442,2.062,2.0708,2.0264,166270441.0
2012-03-02,2.0531,2.1508,2.1508,2.0442,336850504.0
2012-03-05,2.1508,2.1953,2.2486,2.1508,486091232.0
