,open,close,high,low,volume
2012-01-04,5.8407,5.3434,5.8724,5.3434,48089811.0
2012-01-05,5.3063,5.0471,5.3381,4.9995,55206100.0
2012-01-06,5.2958,5.3487,5.5233,5.2482,78665842.0
2012-01-09,5.3487,5.883,5.883,5.264,94797041.0
2012-01-10,5.9518,6.1317,6.3221,5.8671,122809001.0
2012-01-11,6.0682,6.7454,6.7454,6.0153,116496589.0
2012-01-12,6.666,6.6766,7.0046,6.5337,108304581.0
2012-01-13,6.666,6.6977,6.8247,6.4173,107329682.0
2012-01-16,6.6925,6.1634,6.7665,6.1105,84616560.0
2012-01-17,6.1899,6.7824,6.7824,6.1422,125948763.0
2012-01-18,6.7824,6.8512,7.1157,6.7242,116157636.0
2012-01-19,6.8723,6.8829,6.9623,6.6554,79696481.0
2012-01-20,6.9252,6.7824,6.9623,6.7401,51519765.0
2012-01-30,6.8406,6.629,6.867,6.5655,47082073.0
2012-01-31,6.6819,6.8247,7.0363,6.6131,76594315.0
2012-02-01,6.7454,6.5919,6.7983,6.5337,52644090.0
2012-02-02,6.5972,6.9781,6.9887,6.5496,82749571.0
2012-02-03,6.9041,6.9728,7.0628,6.8247,75499392.0
2012-02-06,6.9834,7.0099,7.1633,6.8935,72062414.0
2012-02-07,6.9464,6.8247,6.9834,6.7189,55773887.0
2012-02-08,6.8247,7.0892,7.1421,6.7295,77549471.0
2012-02-09,7.1157,7.195,7.486,7.0681,106698587.0
2012-02-10,7.1898,7.195,7.3009,7.0945,57637803.0
2012-02-13,7.1157,7.2903,7.4014,7.0363,63339420.0
2012-02-14,7.248,7.3326,7.4702,7.248,69848602.0
2012-02-15,7.2744,7.3961,7.4807,7.2215,67750495.0
2012-02-16,7.4067,7.5283,7.613,7.3061,71164329.0
2012-02-17,7.5813,7.4384,7.6447,7.3855,48141017.0
2012-02-20,7.5389,7.4172,7.65,7.412,97055550.0
2012-02-21,7.3696,7.3802,7.4172,7.1051,84321588.0
2012-02-22,7.3538,7.4649,7.4966,7.3326,73577698.0
2012-02-23,7.486,7.3643,7.5601,7.2374,91977668.0
2012-02-24,7.2744,7.4331,7.5019,7.1845,118663016.0
2012-02-27,7.4807,7.5336,7.814,7.3802,156837967.0
2012-02-28,7.248,6.7824,7.248,6.7824,245188858.0
2012-02-29,6.5602,6.5126,6.6925,6.4068,126491800.0
2012-03-01,6.4703,6.6237,6.6925,6.4703,73301935.0
2012-03-02,6.629,6.7454,6.7665,6.5602,80715542.0
2012-03-05,6.7189,6.6448,6.7877,6.6131,69422288.0
2012-03-06,6.6395,6.6925,6.7612,6.5602,66270163.0
2012-03-07,6.5708,6.5284,6.703,6.5126,60575484.0
2012-03-08,6.5972,6.666,6.7242,6.5602,57082901.0
2012-03-09,6.7136,6.703,6.7348,6.5866,59633620.0
2012-03-12,6.703,6.8353,6.8935,6.6501,86639799.0
2012-03-13,6.7983,6.7136,6.8194,6.6131,83429349.0
2012-03-14,6.7506,6.4385,6.8776,6.3803,122619484.0
2012-03-15,6.4332,6.0417,6.5284,5.9888,94203625.0
2012-03-16,6.047,6.2004,6.211,5.9571,59403307.0
2012-03-19,6.1899,6.211,6.2322,6.0576,45814684.0
2012-03-20,6.2322,6.0999,6.2428,6.01,38990815.0
2012-03-21,6.1105,6.1899,6.3115,6.0364,55738806.0
2012-03-22,6.1581,6.0893,6.1951,6.0311,37279385.0
2012-03-23,6.0893,5.8989,6.1158,5.8566,42482559.0
2012-03-26,5.8724,5.8089,5.9518,5.7296,30473352.0
2012-03-27,5.8777,5.8195,5.9042,5.7825,33953298.0
2012-03-28,5.7878,5.4598,5.8301,5.4122,53666808.0
2012-03-29,5.428,5.4333,5.555,5.3804,41526501.0
2012-03-30,5.4651,5.3645,5.5233,5.3169,33308225.0
2012-04-05,5.3857,5.5656,5.5973,5.3487,44781840.0
2012-04-06,5.5603,5.9835,6.1211,5.5338,93886371.0
2012-04-09,5.9042,5.7984,5.9465,5.7825,51995484.0
2012-04-10,5.7878,6.1793,6.2163,5.7455,96690458.0
2012-04-11,6.0629,6.1317,6.2692,6.0311,65756426.0
2012-04-12,6.1317,6.2851,6.3274,6.0999,74449253.0
2012-04-13,6.4015,6.5443,6.6131,6.3168,122718098.0
2012-04-16,6.3486,6.3115,6.4121,6.1899,89975754.0
2012-04-17,6.2639,6.0946,6.3644,6.0893,58500532.0
