,open,close,high,low,volume
2012-10-19,11.867,14.2602,14.2602,11.867,31664808.0
2012-10-22,14.4976,15.0316,15.6843,13.3702,32778657.0
2012-10-23,13.8251,13.5284,14.5964,13.5284,24882354.0
2012-10-24,13.0438,12.856,13.2416,12.5197,16444261.0
2012-10-25,12.6582,11.7484,12.9548,11.7187,16130607.0
2012-10-26,11.6396,11.6495,12.1143,11.422,9783597.0
2012-10-29,11.4616,11.0759,11.4616,10.8484,10954067.0
2012-10-30,11.1352,11.1352,11.2935,10.9572,7574520.0
2012-10-31,11.155,10.7496,11.155,10.532,10054400.0
2012-11-01,10.7693,10.8583,11.0462,10.6309,11211944.0
2012-11-02,10.7496,10.9177,11.3132,10.6803,14749998.0
2012-11-05,10.7594,10.3045,10.7594,10.176,13204607.0
2012-11-06,10.2551,10.5715,10.6704,10.1463,11728185.0
2012-11-07,10.4529,10.5419,10.5419,10.2353,8023530.0
2012-11-08,10.5814,11.6,11.6,10.4825,25433038.0
2012-11-09,11.2638,11.6495,11.9956,11.1352,20607674.0
2012-11-12,11.8176,11.5308,12.2329,11.3231,14261626.0
2012-11-13,11.4715,10.9078,11.6495,10.7594,11895984.0
2012-11-14,10.6012,11.0858,11.1649,10.5617,11741795.0
2012-11-15,10.7792,11.4814,12.1934,10.7298,21793902.0
2012-11-16,11.4418,10.4727,11.4418,10.3342,18129074.0
2012-11-19,10.087,9.9386,10.2452,9.7211,8572435.0
2012-11-20,10.087,9.6716,10.1859,9.6716,7929882.0
2012-11-21,9.5035,9.7211,9.7211,9.3354,7087943.0
2012-11-22,9.5925,9.3947,9.5925,9.3651,5352830.0
2012-11-23,9.4244,9.4343,9.5431,9.3947,4144724.0
2012-11-26,9.5233,9.5233,9.8397,9.4343,8659808.0
2012-11-27,9.4837,8.5739,9.4837,8.5739,9121010.0
2012-11-28,8.4058,8.1586,8.475,8.0992,6276921.0
2012-11-29,8.208,8.0795,8.386,8.0498,5818767.0
2012-11-30,7.9905,8.2377,8.3564,7.9707,5192179.0
2012-12-03,8.2377,7.6839,8.2377,7.6443,5934006.0
2012-12-04,7.5652,8.0004,8.0498,7.5553,5786284.0
2012-12-05,7.9114,8.2773,8.4553,7.8718,8524693.0
2012-12-06,8.208,8.3069,8.4948,8.0795,7161425.0
2012-12-07,8.3366,8.6234,8.7322,8.1883,9777675.0
2012-12-10,8.6234,9.0684,9.0684,8.4256,10690931.0
2012-12-11,8.9003,8.6926,8.9695,8.6827,7151407.0
2012-12-12,8.6036,8.7519,8.8706,8.5344,4942193.0
2012-12-13,8.6629,8.5739,8.9596,8.5443,4191903.0
2012-12-14,8.5542,8.9497,9.0783,8.5542,8220754.0
2012-12-17,8.9003,9.375,9.642,8.7322,10386311.0
2012-12-31,10.2848,10.3144,10.3144,9.8002,16305853.0
2013-01-04,10.8781,11.3429,11.3429,10.5715,19312052.0
2013-01-07,11.5802,12.4802,12.4802,11.5308,19951327.0
2013-01-08,12.9054,13.7262,13.7262,12.9054,11212427.0
2013-01-09,14.4382,12.8856,14.4382,12.4703,27595629.0
2013-01-10,12.9054,14.1712,14.1712,12.5593,27555168.0
2013-01-11,13.8449,14.3393,15.4271,13.4592,31470043.0
2013-01-14,14.2404,14.5371,15.0909,13.5581,22930561.0
2013-01-15,14.4184,14.2404,14.9327,14.2108,18872456.0
2013-01-16,13.835,13.4493,13.924,13.2713,16780110.0
2013-01-17,13.4493,13.3207,13.6965,13.1032,10916078.0
2013-01-18,13.301,13.4493,13.568,13.2021,7342815.0
2013-01-21,13.4987,13.3109,13.5284,13.2021,6797778.0
2013-01-22,13.3504,14.1811,14.4086,12.8065,20464533.0
2013-01-23,13.7658,15.5953,15.5953,13.7064,27720105.0
2013-01-24,15.9908,16.0897,17.0589,15.9018,26544888.0
2013-01-25,15.3282,17.7017,17.7017,15.259,28965548.0
2013-01-28,17.3951,17.2072,17.9093,16.5446,23635206.0
2013-01-29,16.9501,17.0687,18.6016,16.7127,21267650.0
2013-01-30,16.693,16.1886,16.96,15.9315,15825008.0
2013-01-31,15.971,15.8722,16.5446,15.8128,10337914.0
2013-02-01,15.8919,16.4161,16.8116,15.8919,13217063.0
2013-02-04,16.3369,15.4865,16.8314,15.0019,11168845.0
2013-02-05,15.3381,14.8437,15.3381,14.4086,10922407.0
2013-02-06,14.8239,15.081,15.4271,14.5569,9183907.0
2013-02-07,15.0316,14.9426,15.2096,14.5668,6511311.0
2013-02-08,14.9623,14.9426,15.1107,14.7349,5781178.0
2013-02-18,15.0118,16.4358,16.4358,15.0118,15989099.0
2013-02-19,16.4952,17.1973,17.7907,16.4952,19554494.0
2013-02-20,17.1479,17.1182,17.3852,16.1688,12314319.0
2013-02-21,16.9006,17.8005,18.1071,16.4754,16989163.0
2013-02-22,17.583,16.7721,18.295,16.6534,14201426.0
2013-02-25,16.1787,16.3468,16.7622,16.1589,8363943.0
2013-02-26,16.1787,16.2578,17.1083,15.8029,9311964.0
2013-02-27,16.1787,16.3666,16.5051,15.8524,6723206.0
2013-02-28,16.3172,16.9006,17.1479,16.2677,9790035.0
2013-03-01,16.9105,17.0589,17.2566,16.5644,9492558.0
2013-03-04,16.7325,15.9612,16.9896,15.8524,7832413.0
2013-03-05,15.9612,16.1787,16.4754,15.8722,5076516.0
2013-03-06,16.1293,16.4457,16.4655,16.1095,5246719.0
2013-03-07,16.5941,16.515,17.0094,16.2183,7547727.0
2013-03-08,16.515,17.3061,18.0774,16.3369,16218356.0
2013-03-11,17.3061,16.515,17.5236,16.4161,9090369.0
2013-03-12,16.4259,15.4667,16.515,14.9525,9566724.0
2013-03-13,15.2195,15.8524,16.3172,15.0415,6195030.0
2013-03-14,15.7733,15.6941,16.0699,15.6348,3089302.0
2013-03-15,15.1799,15.2392,15.7139,15.0019,4659230.0
2013-03-18,15.0316,14.9623,15.3975,14.9525,3108436.0
2013-03-19,14.9821,14.5569,15.2096,14.2207,4267042.0
2013-03-20,14.4877,15.1601,15.4173,14.4877,5392677.0
2013-03-21,15.2294,15.348,15.4667,15.081,4131966.0
2013-03-22,15.4074,15.3282,15.4766,15.1305,3609681.0
2013-03-25,15.3876,15.1008,15.4074,14.9426,2517085.0
2013-03-26,15.0415,15.5953,15.615,15.0415,5673118.0
2013-03-27,15.526,15.3975,15.8029,15.2195,4381067.0
2013-03-28,15.2294,14.3393,15.2294,14.3393,4726779.0
2013-03-29,14.3393,14.4877,14.7942,14.3393,3562730.0
2013-04-01,14.6261,14.7349,14.8338,14.3987,2493605.0
2013-04-02,14.7448,15.2491,15.4173,14.7448,6065745.0
2013-04-03,15.259,15.1107,15.3777,14.8733,2496523.0
2013-04-08,15.1305,16.1886,16.6237,15.1305,13834255.0
2013-04-09,15.9513,15.9809,16.8116,15.8524,12570696.0
2013-04-10,15.7337,15.1305,15.7634,14.725,7188250.0
2013-04-11,15.2788,14.9821,15.3678,14.8338,3012236.0
2013-04-12,14.8931,15.0316,15.2392,14.8931,2600694.0
2013-04-15,15.0909,14.5173,15.1305,14.4283,3159301.0
2013-04-16,14.5173,14.636,14.7349,14.2503,2187299.0
2013-04-17,14.636,14.7349,14.7448,14.547,2182484.0
2013-04-18,14.7349,14.7547,15.0118,14.6459,2613001.0
2013-04-19,14.7547,15.0019,15.1404,14.7547,3454985.0
2013-04-22,14.9821,15.4469,15.4667,14.8338,5521688.0
2013-04-23,15.5161,14.7052,15.5161,14.6657,4768663.0
2013-04-24,14.7151,15.0415,15.3678,14.7151,4427640.0
2013-04-25,14.9426,14.6162,15.1997,14.6162,3611740.0
2013-04-26,14.4877,14.4382,14.8041,14.4184,2060316.0
2013-05-02,14.3492,14.5074,14.636,14.3492,1287475.0
2013-05-03,14.4382,14.6657,14.8239,14.4382,2075044.0
2013-05-06,14.7151,15.2392,15.4173,14.6063,6106143.0
2013-05-07,15.1008,14.9623,15.1601,14.8536,4010182.0
2013-05-08,14.9821,16.3073,16.4161,14.9821,13976468.0
2013-05-09,16.2183,15.8128,16.2183,15.5755,9684704.0
2013-05-10,16.4556,16.06,17.3061,16.0502,13964478.0
2013-05-13,15.3282,15.7139,15.9809,15.2294,6417560.0
2013-05-14,15.5063,15.2195,15.8029,15.081,4531209.0
2013-05-15,15.2788,15.8623,15.9809,15.1502,6479312.0
2013-05-16,15.8227,15.704,16.0996,15.526,6581215.0
2013-05-17,15.8623,16.6138,16.96,15.8326,13196821.0
2013-05-20,17.9093,18.2752,18.2752,17.4841,14580913.0
2013-05-21,19.1653,19.5806,19.8773,18.918,25106586.0
2013-05-22,18.9576,18.7895,19.3334,18.295,11863338.0
2013-05-23,18.8389,18.0082,18.9378,17.9588,11235519.0
2013-05-24,17.9983,18.473,18.9378,17.9687,10183856.0
2013-05-27,18.2653,18.6016,18.6708,17.8005,8759304.0
2013-05-28,18.3049,18.028,18.384,17.8994,5742625.0
2013-05-29,18.3247,18.4433,18.8884,18.2258,8095729.0
2013-05-30,18.0577,18.0478,18.295,17.8401,6417106.0
2013-05-31,18.0577,17.672,18.295,17.6621,5099663.0
2013-06-03,17.7017,18.1269,18.295,17.7017,5798327.0
2013-06-04,18.0082,17.2863,18.0972,17.1973,5295057.0
2013-06-05,17.2665,17.1479,17.4346,16.9105,3227908.0
2013-06-06,17.2072,16.9896,17.5731,16.9896,3612968.0
2013-06-07,16.9006,16.2677,17.1775,16.1293,4276980.0
2013-06-13,16.0798,16.1688,16.1985,14.8536,3758119.0
2013-06-14,16.3172,17.4445,17.7017,16.2282,7871250.0
2013-06-17,17.3061,17.5138,18.6708,17.2764,10433820.0
2013-06-18,17.405,17.6028,17.9588,16.8611,4923671.0
2013-06-19,17.316,17.494,17.9093,16.9402,3260737.0
2013-06-20,17.1973,17.5039,18.1566,16.9797,7271225.0
2013-06-21,16.96,18.1664,18.3148,16.4161,7283071.0
2013-06-24,18.3939,16.7127,18.7697,16.515,8181419.0
2013-06-25,16.0205,16.8215,17.0984,15.0415,7198632.0
2013-06-26,16.8215,17.6225,18.0577,16.4457,7856943.0
