,open,close,high,low,volume
2012-01-04,8.1267,7.795,8.1559,7.7852,5713220.0
2012-01-05,7.795,7.6681,7.8925,7.6584,4592732.0
2012-01-06,7.7072,7.7559,7.7657,7.6194,4412976.0
2012-01-09,7.7559,8.0974,8.1657,7.7169,14329809.0
2012-01-10,8.1072,8.6827,8.8486,8.0779,23879432.0
2012-01-11,8.7413,8.6437,8.8096,8.5462,13001579.0
2012-01-12,8.634,8.7998,8.9462,8.5559,16738193.0
2012-01-13,8.7413,8.6047,8.8584,8.4193,13100448.0
2012-01-16,8.4193,8.2535,8.634,8.2437,7605975.0
2012-01-17,8.234,9.0827,9.0827,8.234,20914554.0
2012-01-18,9.3657,8.8974,9.5998,8.8584,33841059.0
2012-01-19,8.8584,9.512,9.6291,8.8096,31304231.0
2012-01-20,9.6096,9.4632,9.6096,9.1413,20271898.0
2012-01-30,9.5413,9.3364,9.5998,9.3169,17092673.0
2012-01-31,9.2779,9.3071,9.4047,9.151,9746259.0
2012-02-01,9.2876,8.8681,9.2876,8.7803,15839156.0
2012-02-02,8.9266,9.151,9.1803,8.8388,13045827.0
2012-02-03,9.1023,9.1608,9.3169,8.9754,14848619.0
2012-02-06,9.2681,9.1218,9.2974,9.0144,11223958.0
2012-02-07,9.0242,9.0242,9.073,8.7706,13415674.0
2012-02-08,8.9852,9.9315,9.9315,8.9462,47965170.0
2012-02-09,9.8047,9.7949,9.9803,9.6974,34000012.0
2012-02-10,9.7949,9.7657,9.9413,9.7071,20910051.0
2012-02-13,9.6486,9.8827,10.0096,9.5608,23110049.0
2012-02-14,9.8339,9.7657,9.873,9.6974,13408866.0
2012-02-15,9.6876,9.8437,10.0486,9.6876,36465337.0
2012-02-16,9.7559,9.8144,9.912,9.6876,20789218.0
2012-02-17,9.9022,9.7949,9.9413,9.7169,13125114.0
2012-02-20,9.951,9.7949,10.0096,9.7852,19398363.0
2012-02-21,9.8242,9.8535,9.8535,9.6291,13156504.0
2012-02-22,9.8925,9.9315,9.9608,9.8047,22624256.0
2012-02-23,9.951,9.9705,10.1266,9.8827,27247911.0
2012-02-24,9.99,10.1266,10.1461,9.9413,25987075.0
2012-02-27,10.1754,10.1852,10.5364,10.1754,39771099.0
2012-02-28,10.1656,10.4388,10.5071,10.1071,41405541.0
2012-02-29,10.4876,10.4388,10.712,10.2534,40350516.0
2012-03-01,10.2242,10.3022,10.5071,10.1949,19491677.0
2012-03-02,10.2827,10.4583,10.5559,10.2827,25767009.0
2012-03-05,10.3413,10.0974,10.4583,9.9608,31544108.0
2012-03-06,10.0096,9.7852,10.0583,9.6681,34152655.0
2012-03-07,9.59,9.6583,9.8925,9.59,20676084.0
2012-03-08,9.7364,9.9217,10.1071,9.7169,24554870.0
2012-03-09,10.0096,10.0778,10.0778,9.8632,20835269.0
2012-03-12,10.0681,9.9998,10.2047,9.9022,23532603.0
2012-03-13,9.9315,10.0486,10.0486,9.8535,18814403.0
2012-03-14,10.1364,9.6193,10.1754,9.5315,34719170.0
2012-03-15,9.5998,9.3266,9.6974,9.2779,19813105.0
2012-03-16,9.3754,9.5608,9.5608,9.2974,13954150.0
2012-03-19,9.5705,9.7949,9.8144,9.5413,16267609.0
2012-03-20,9.7071,9.4632,9.7169,9.4437,16205152.0
2012-03-21,9.4632,9.7364,9.9998,9.4144,27336016.0
2012-03-22,9.6583,9.5608,9.7071,9.473,13824009.0
2012-03-23,9.4925,9.2876,9.551,9.2681,13689013.0
2012-03-26,9.3169,9.3657,9.4047,9.2681,9076267.0
2012-03-27,9.4827,9.3364,9.5608,9.2876,10654802.0
2012-03-28,9.2974,8.8486,9.2974,8.7901,16141264.0
2012-03-29,8.8096,8.4779,8.8193,8.3998,15512205.0
2012-03-30,8.5364,8.4681,8.6242,8.3901,8625724.0
2012-04-05,8.4779,8.7608,8.7803,8.4096,12250069.0
2012-04-06,8.7706,8.751,8.8388,8.6827,11766128.0
2012-04-09,8.7315,8.6242,8.8291,8.5559,8385394.0
2012-04-10,8.5657,8.8388,8.8388,8.5364,11612507.0
2012-04-11,8.751,8.8193,8.8681,8.6827,9561318.0
2012-04-12,8.7803,9.073,9.0827,8.7803,13262709.0
2012-04-13,9.2193,9.2681,9.3266,9.0827,14801736.0
2012-04-16,9.1705,9.1608,9.2876,9.0827,9406480.0
2012-04-17,9.1413,9.0632,9.2193,9.0535,6871621.0
2012-04-18,9.1608,9.3071,9.3364,9.1023,12164117.0
2012-04-19,9.3169,9.2681,9.3462,9.1803,8612466.0
2012-04-20,9.2486,9.3754,9.4047,9.1608,13670411.0
2012-04-23,9.3754,9.1901,9.3949,9.1413,10016774.0
2012-04-24,9.1315,9.034,9.2681,8.8096,12903379.0
2012-04-25,9.0437,9.2583,9.2681,8.9559,15708171.0
2012-04-26,9.2681,9.3657,9.4827,9.2193,18564108.0
2012-04-27,9.2974,9.2193,9.3949,9.1998,11390566.0
2012-05-02,9.4047,9.6974,9.8925,9.3071,33807339.0
2012-05-03,9.59,9.7657,9.8827,9.59,27166273.0
2012-05-04,9.7657,9.9022,9.951,9.6583,23043738.0
2012-05-07,9.8047,9.873,9.99,9.7364,22767203.0
2012-05-08,9.8535,9.7461,9.873,9.5998,23280685.0
2012-05-09,9.6388,9.434,9.6583,9.4242,15967730.0
2012-05-10,9.3657,9.473,9.5803,9.3657,11031991.0
