,open,close,high,low,volume
2012-01-04,6.5561,6.3623,6.6404,6.3623,30902104.0
2012-01-05,6.3286,6.1516,6.3707,6.0673,23793149.0
2012-01-06,6.1516,6.1432,6.2022,6.0252,21296283.0
2012-01-09,6.1769,6.455,6.4634,6.1179,34850888.0
2012-01-10,6.4634,6.8847,6.9859,6.4381,78064417.0
2012-01-11,6.91,6.9943,7.0701,6.7752,68992297.0
2012-01-12,6.9437,6.9437,7.1291,6.8932,49905515.0
2012-01-13,6.9522,6.8426,7.0027,6.6572,48703103.0
2012-01-16,6.8342,7.0701,7.2471,6.7583,75910937.0
2012-01-17,7.0701,7.5673,7.6684,7.0617,88938088.0
2012-01-18,7.7359,7.5673,7.7696,7.3904,68647689.0
2012-01-19,7.5505,7.6094,7.7359,7.483,39036914.0
2012-01-20,7.6094,7.8201,7.9634,7.5673,64422421.0
2012-01-30,7.8454,7.8033,7.9381,7.6684,48002756.0
2012-01-31,7.8201,7.6769,7.9212,7.5673,45321779.0
2012-02-01,7.6769,7.3398,7.6769,7.2977,59138926.0
2012-02-02,7.3398,7.601,7.601,7.2892,48583705.0
2012-02-03,7.5842,7.5926,7.6769,7.4493,35450812.0
2012-02-06,7.6516,7.5505,7.6684,7.5083,27003930.0
2012-02-07,7.5168,7.4156,7.5168,7.3398,26159865.0
2012-02-08,7.4156,7.6937,7.7948,7.3904,36451522.0
2012-02-09,7.7106,7.66,7.7527,7.5842,33108776.0
2012-02-10,7.66,7.8454,7.9718,7.6263,69792419.0
2012-02-13,7.7274,7.7864,7.9128,7.6263,32987567.0
2012-02-14,7.7527,7.7274,7.8707,7.6684,28669337.0
2012-02-15,7.7274,7.8117,7.8285,7.6684,30064701.0
2012-02-16,7.778,7.7021,7.8875,7.6769,32381019.0
2012-02-17,7.7611,7.6853,7.8033,7.6347,21492037.0
2012-02-20,7.8201,7.7443,7.8538,7.7359,37116297.0
2012-02-21,7.7443,7.7696,7.778,7.66,25232979.0
2012-02-22,7.778,7.8707,7.9044,7.7359,49989330.0
2012-02-23,7.8791,8.0392,8.1319,7.8791,66764587.0
2012-02-24,8.0645,8.2499,8.292,7.9465,73317197.0
2012-02-27,8.2667,8.1825,8.3763,8.1825,59048850.0
2012-02-28,8.1656,8.1403,8.1909,8.0055,51637502.0
2012-02-29,8.1151,8.0898,8.2415,8.0814,44275243.0
2012-03-01,8.0729,8.1319,8.1909,8.0476,36417011.0
2012-03-02,8.1403,8.351,8.3679,8.1403,57431236.0
2012-03-05,8.3679,8.587,8.7049,8.3679,75777564.0
2012-03-06,8.5785,8.3005,8.587,8.292,60575496.0
2012-03-07,8.1909,8.2078,8.4184,8.1066,42500480.0
2012-03-08,8.233,8.2752,8.3931,8.1909,40149619.0
2012-03-09,8.3089,8.3763,8.4016,8.292,31618888.0
2012-03-12,8.3847,8.292,8.4774,8.233,33125539.0
2012-03-13,8.3257,8.3005,8.3426,8.1993,35801305.0
2012-03-14,8.3594,8.0476,8.5617,8.0139,120498812.0
2012-03-15,8.0476,8.1319,8.1403,7.7948,67576922.0
2012-03-16,8.1656,8.2078,8.3257,8.0561,52830930.0
2012-03-19,8.2162,8.174,8.2246,8.0224,36382533.0
2012-03-20,8.1572,8.0055,8.1572,7.9802,37439886.0
2012-03-21,8.0308,7.9128,8.1151,7.8623,29754155.0
2012-03-22,7.896,7.8707,8.0055,7.8454,25650279.0
2012-03-23,7.8538,7.6516,7.8623,7.601,43191487.0
2012-03-26,7.6432,7.7443,7.7948,7.6347,27288407.0
2012-03-27,7.7864,7.6684,7.8538,7.66,20830957.0
2012-03-28,7.6432,7.4325,7.7021,7.4156,28962473.0
2012-03-29,7.4156,7.2302,7.4156,7.0954,27416711.0
2012-03-30,7.1713,7.2977,7.3482,7.1713,19252893.0
